API VERSION: 1.0
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / WWW_USER Fri Sep 11 04:04:24 2026 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Sun (10)                        {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : B.C. 1500-Dec-20 20:05:09.3650 TT      
Stop  time      : A.D. 1001-Dec-22 00:13:13.4630 TT      
Step-size       : 0 steps
*******************************************************************************
Target pole/equ : IAU_SUN                         {East-longitude positive}
Target radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Gregorian
EOP file        : eop.260910.p261207                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-SEP-10. PREDICTS-> 2026-DEC-06
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(TT)__HR:MN:SC.fff, , ,    ObsEcLon,   ObsEcLat,
b1353-Dec-20 12:45:07.586, , , 270.0000000, -0.0001234,
b1352-Dec-20 18:40:21.977, , , 270.0000000,  0.0001327,
b1351-Dec-21 00:25:27.840, , , 270.0000000, -0.0000238,
b1350-Dec-21 06:22:33.558, , , 270.0000000, -0.0000791,
b1349-Dec-20 12:20:19.763, , , 270.0000000,  0.0000018,
b1348-Dec-20 17:59:19.977, , , 269.9999999, -0.0002634,
b1347-Dec-20 23:52:03.244, , , 270.0000000,  0.0000547,
b1346-Dec-21 05:40:22.470, , , 270.0000000, -0.0001083,
b1345-Dec-20 11:19:22.464, , , 270.0000000,  0.0001689,
b1344-Dec-20 17:13:56.632, , , 270.0000000,  0.0000168,
b1343-Dec-20 22:56:50.326, , , 270.0000000, -0.0000799,
b1342-Dec-21 04:47:19.783, , , 270.0000000,  0.0000772,
b1341-Dec-20 10:40:24.851, , , 270.0000000, -0.0002352,
b1340-Dec-20 16:18:12.248, , , 270.0000000,  0.0001011,
b1339-Dec-20 22:14:16.936, , , 270.0000000, -0.0002050,
b1338-Dec-21 04:12:20.017, , , 270.0000000, -0.0000334,
b1337-Dec-20 09:59:59.953, , , 270.0000000,  0.0000515,
b1336-Dec-20 15:59:00.642, , , 270.0000000, -0.0001472,
b1335-Dec-20 21:47:16.951, , , 270.0000000,  0.0001769,
b1334-Dec-21 03:38:55.815, , , 270.0000000, -0.0001509,
b1333-Dec-20 09:34:59.666, , , 270.0000000,  0.0000855,
b1332-Dec-20 15:15:27.017, , , 270.0000000, -0.0001613,
b1331-Dec-20 21:07:11.515, , , 270.0000000, -0.0001807,
b1330-Dec-21 02:58:40.800, , , 270.0000000,  0.0000186,
b1329-Dec-20 08:37:12.146, , , 270.0000000, -0.0000943,
b1328-Dec-20 14:27:05.449, , , 270.0000000,  0.0001991,
b1327-Dec-20 20:15:17.265, , , 270.0000000, -0.0000810,
b1326-Dec-21 02:06:23.009, , , 269.9999999,  0.0000652,
b1325-Dec-20 08:03:41.782, , , 270.0000000, -0.0001056,
b1324-Dec-20 13:45:18.506, , , 270.0000000, -0.0001457,
b1323-Dec-20 19:34:35.355, , , 270.0000000,  0.0000310,
b1322-Dec-21 01:28:49.959, , , 270.0000000, -0.0001641,
b1321-Dec-20 07:10:24.238, , , 270.0000000,  0.0002204,
b1320-Dec-20 13:04:06.328, , , 270.0000000, -0.0001384,
b1319-Dec-20 18:55:38.827, , , 270.0000000,  0.0000201,
b1318-Dec-21 00:44:41.443, , , 270.0000000, -0.0000246,
b1317-Dec-20 06:39:50.879, , , 270.0000000, -0.0001595,
b1316-Dec-20 12:23:36.605, , , 270.0000000,  0.0000944,
b1315-Dec-20 18:16:06.336, , , 270.0000000, -0.0002750,
b1314-Dec-21 00:16:58.598, , , 270.0000000,  0.0000624,
b1313-Dec-20 06:01:50.772, , , 270.0000000, -0.0000750,
b1312-Dec-20 11:54:18.380, , , 270.0000000, -0.0000008,
b1311-Dec-20 17:43:21.391, , , 270.0000000,  0.0001484,
b1310-Dec-20 23:29:04.988, , , 270.0000000, -0.0000865,
b1309-Dec-20 05:20:51.974, , , 270.0000000,  0.0001327,
b1308-Dec-20 11:03:06.026, , , 270.0000000, -0.0002487,
b1307-Dec-20 16:48:58.253, , , 270.0000000, -0.0000648,
b1306-Dec-20 22:41:11.484, , , 270.0000000, -0.0001285,
b1305-Dec-20 04:21:18.408, , , 270.0000000, -0.0000107,
b1304-Dec-20 10:09:47.248, , , 270.0000000,  0.0001224,
b1303-Dec-20 16:04:27.056, , , 270.0000000, -0.0001331,
b1302-Dec-20 21:58:10.192, , , 270.0000000,  0.0001080,
